evidence_id,case_id,evidence_type,reference_id,added_at,added_by
EVD-000001,CASE-00001,comment,COM-000025,2025-12-20 00:00:00,MOD-001
EVD-000002,CASE-00001,comment,COM-000037,2025-12-20 00:00:00,MOD-001
EVD-000003,CASE-00001,comment,COM-000035,2025-12-20 00:00:00,MOD-001
EVD-000004,CASE-00001,report,REP-000002,2025-12-20 00:00:00,MOD-001
EVD-000005,CASE-00001,report,REP-000006,2025-12-20 00:00:00,MOD-001
EVD-000006,CASE-00001,campaign,CAMP-001,2025-12-20 00:00:00,MOD-001
EVD-000007,CASE-00002,comment,COM-000073,2026-05-18 09:41:41,MOD-004
EVD-000008,CASE-00002,comment,COM-000074,2026-05-18 09:41:41,MOD-004
EVD-000009,CASE-00002,comment,COM-000066,2026-05-18 09:41:41,MOD-004
EVD-000010,CASE-00002,report,REP-000016,2026-05-18 09:41:41,MOD-004
EVD-000011,CASE-00002,report,REP-000019,2026-05-18 09:41:41,MOD-004
EVD-000012,CASE-00002,campaign,CAMP-009,2026-05-18 09:41:41,MOD-004
EVD-000013,CASE-00003,comment,COM-000148,2026-04-27 00:00:00,MOD-002
EVD-000014,CASE-00003,comment,COM-000137,2026-04-27 00:00:00,MOD-002
EVD-000015,CASE-00003,comment,COM-000135,2026-04-27 00:00:00,MOD-002
EVD-000016,CASE-00003,report,REP-000028,2026-04-27 00:00:00,MOD-002
EVD-000017,CASE-00003,report,REP-000025,2026-04-27 00:00:00,MOD-002
EVD-000018,CASE-00003,campaign,CAMP-007,2026-04-27 00:00:00,MOD-002
EVD-000019,CASE-00004,comment,COM-000188,2026-01-01 08:57:36,MOD-001
EVD-000020,CASE-00004,comment,COM-000192,2026-01-01 08:57:36,MOD-001
EVD-000021,CASE-00004,comment,COM-000193,2026-01-01 08:57:36,MOD-001
EVD-000022,CASE-00004,report,REP-000072,2026-01-01 08:57:36,MOD-001
EVD-000023,CASE-00004,report,REP-000070,2026-01-01 08:57:36,MOD-001
EVD-000024,CASE-00004,campaign,CAMP-008,2026-01-01 08:57:36,MOD-001
EVD-000025,CASE-00005,comment,COM-000251,2026-05-24 04:19:35,MOD-004
EVD-000026,CASE-00005,comment,COM-000258,2026-05-24 04:19:35,MOD-004
EVD-000027,CASE-00005,comment,COM-000254,2026-05-24 04:19:35,MOD-004
EVD-000028,CASE-00005,report,REP-000125,2026-05-24 04:19:35,MOD-004
EVD-000029,CASE-00005,campaign,CAMP-015,2026-05-24 04:19:35,MOD-004
EVD-000030,CASE-00006,comment,COM-000279,2026-01-23 00:00:00,MOD-004
EVD-000031,CASE-00006,comment,COM-000281,2026-01-23 00:00:00,MOD-004
EVD-000032,CASE-00006,comment,COM-000283,2026-01-23 00:00:00,MOD-004
EVD-000033,CASE-00006,report,REP-000127,2026-01-23 00:00:00,MOD-004
EVD-000034,CASE-00006,report,REP-000130,2026-01-23 00:00:00,MOD-004
EVD-000035,CASE-00006,campaign,CAMP-006,2026-01-23 00:00:00,MOD-004
EVD-000036,CASE-00007,comment,COM-000308,2025-12-18 16:54:51,MOD-008
EVD-000037,CASE-00007,comment,COM-000324,2025-12-18 16:54:51,MOD-008
EVD-000038,CASE-00007,comment,COM-000317,2025-12-18 16:54:51,MOD-008
EVD-000039,CASE-00007,report,REP-000157,2025-12-18 16:54:51,MOD-008
EVD-000040,CASE-00007,report,REP-000158,2025-12-18 16:54:51,MOD-008
EVD-000041,CASE-00007,campaign,CAMP-007,2025-12-18 16:54:51,MOD-008
EVD-000042,CASE-00008,comment,COM-000364,2026-03-27 11:00:44,MOD-001
EVD-000043,CASE-00008,comment,COM-000333,2026-03-27 11:00:44,MOD-001
EVD-000044,CASE-00008,comment,COM-000336,2026-03-27 11:00:44,MOD-001
EVD-000045,CASE-00008,report,REP-000191,2026-03-27 11:00:44,MOD-001
EVD-000046,CASE-00008,report,REP-000190,2026-03-27 11:00:44,MOD-001
EVD-000047,CASE-00008,campaign,CAMP-004,2026-03-27 11:00:44,MOD-001
EVD-000048,CASE-00009,comment,COM-000384,2026-04-25 15:03:34,MOD-005
EVD-000049,CASE-00009,comment,COM-000383,2026-04-25 15:03:34,MOD-005
EVD-000050,CASE-00009,comment,COM-000380,2026-04-25 15:03:34,MOD-005
EVD-000051,CASE-00009,report,REP-000214,2026-04-25 15:03:34,MOD-005
EVD-000052,CASE-00009,campaign,CAMP-015,2026-04-25 15:03:34,MOD-005
EVD-000053,CASE-00010,comment,COM-000395,2026-05-15 19:20:59,MOD-006
EVD-000054,CASE-00010,comment,COM-000403,2026-05-15 19:20:59,MOD-006
EVD-000055,CASE-00010,comment,COM-000411,2026-05-15 19:20:59,MOD-006
EVD-000056,CASE-00010,report,REP-000216,2026-05-15 19:20:59,MOD-006
EVD-000057,CASE-00010,report,REP-000218,2026-05-15 19:20:59,MOD-006
EVD-000058,CASE-00010,campaign,CAMP-008,2026-05-15 19:20:59,MOD-006
EVD-000059,CASE-00011,comment,COM-000456,2026-05-06 00:00:00,MOD-007
EVD-000060,CASE-00011,comment,COM-000461,2026-05-06 00:00:00,MOD-007
EVD-000061,CASE-00011,comment,COM-000462,2026-05-06 00:00:00,MOD-007
EVD-000062,CASE-00011,report,REP-000258,2026-05-06 00:00:00,MOD-007
EVD-000063,CASE-00011,report,REP-000253,2026-05-06 00:00:00,MOD-007
EVD-000064,CASE-00011,campaign,CAMP-010,2026-05-06 00:00:00,MOD-007
EVD-000065,CASE-00012,comment,COM-000571,2026-05-19 12:00:25,MOD-006
EVD-000066,CASE-00012,comment,COM-000576,2026-05-19 12:00:25,MOD-006
EVD-000067,CASE-00012,comment,COM-000577,2026-05-19 12:00:25,MOD-006
EVD-000068,CASE-00012,report,REP-000269,2026-05-19 12:00:25,MOD-006
EVD-000069,CASE-00012,report,REP-000270,2026-05-19 12:00:25,MOD-006
EVD-000070,CASE-00012,campaign,CAMP-012,2026-05-19 12:00:25,MOD-006
EVD-000071,CASE-00013,comment,COM-000628,2026-03-04 10:41:22,MOD-001
EVD-000072,CASE-00013,comment,COM-000617,2026-03-04 10:41:22,MOD-001
EVD-000073,CASE-00013,comment,COM-000656,2026-03-04 10:41:22,MOD-001
EVD-000074,CASE-00013,report,REP-000286,2026-03-04 10:41:22,MOD-001
EVD-000075,CASE-00013,report,REP-000285,2026-03-04 10:41:22,MOD-001
EVD-000076,CASE-00013,campaign,CAMP-002,2026-03-04 10:41:22,MOD-001
EVD-000077,CASE-00014,comment,COM-000669,2026-02-04 00:00:00,MOD-007
EVD-000078,CASE-00014,comment,COM-000666,2026-02-04 00:00:00,MOD-007
EVD-000079,CASE-00014,comment,COM-000671,2026-02-04 00:00:00,MOD-007
EVD-000080,CASE-00014,report,REP-000310,2026-02-04 00:00:00,MOD-007
EVD-000081,CASE-00014,report,REP-000311,2026-02-04 00:00:00,MOD-007
EVD-000082,CASE-00014,campaign,CAMP-016,2026-02-04 00:00:00,MOD-007
EVD-000083,CASE-00015,comment,COM-000702,2026-05-19 11:23:47,MOD-006
EVD-000084,CASE-00015,comment,COM-000704,2026-05-19 11:23:47,MOD-006
EVD-000085,CASE-00015,comment,COM-000708,2026-05-19 11:23:47,MOD-006
EVD-000086,CASE-00015,report,REP-000343,2026-05-19 11:23:47,MOD-006
EVD-000087,CASE-00015,report,REP-000347,2026-05-19 11:23:47,MOD-006
EVD-000088,CASE-00015,campaign,CAMP-006,2026-05-19 11:23:47,MOD-006
EVD-000089,CASE-00016,comment,COM-000758,2026-05-04 01:31:00,MOD-002
EVD-000090,CASE-00016,comment,COM-000778,2026-05-04 01:31:00,MOD-002
EVD-000091,CASE-00016,comment,COM-000783,2026-05-04 01:31:00,MOD-002
EVD-000092,CASE-00016,report,REP-000404,2026-05-04 01:31:00,MOD-002
EVD-000093,CASE-00016,report,REP-000405,2026-05-04 01:31:00,MOD-002
EVD-000094,CASE-00016,campaign,CAMP-002,2026-05-04 01:31:00,MOD-002
EVD-000095,CASE-00017,comment,COM-000818,2026-05-29 10:44:44,MOD-005
EVD-000096,CASE-00017,comment,COM-000827,2026-05-29 10:44:44,MOD-005
EVD-000097,CASE-00017,comment,COM-000816,2026-05-29 10:44:44,MOD-005
EVD-000098,CASE-00017,report,REP-000434,2026-05-29 10:44:44,MOD-005
EVD-000099,CASE-00017,report,REP-000435,2026-05-29 10:44:44,MOD-005
EVD-000100,CASE-00017,campaign,CAMP-015,2026-05-29 10:44:44,MOD-005
EVD-000101,CASE-00018,comment,COM-000843,2026-05-24 18:19:28,MOD-002
EVD-000102,CASE-00018,comment,COM-000833,2026-05-24 18:19:28,MOD-002
EVD-000103,CASE-00018,comment,COM-000832,2026-05-24 18:19:28,MOD-002
EVD-000104,CASE-00018,report,REP-000438,2026-05-24 18:19:28,MOD-002
EVD-000105,CASE-00018,report,REP-000437,2026-05-24 18:19:28,MOD-002
EVD-000106,CASE-00018,campaign,CAMP-010,2026-05-24 18:19:28,MOD-002
EVD-000107,CASE-00019,comment,COM-000884,2026-04-15 19:24:58,MOD-008
EVD-000108,CASE-00019,comment,COM-000881,2026-04-15 19:24:58,MOD-008
EVD-000109,CASE-00019,comment,COM-000860,2026-04-15 19:24:58,MOD-008
EVD-000110,CASE-00019,report,REP-000447,2026-04-15 19:24:58,MOD-008
EVD-000111,CASE-00019,report,REP-000451,2026-04-15 19:24:58,MOD-008
EVD-000112,CASE-00019,campaign,CAMP-013,2026-04-15 19:24:58,MOD-008
EVD-000113,CASE-00020,comment,COM-000918,2026-02-18 16:20:16,MOD-003
EVD-000114,CASE-00020,comment,COM-000908,2026-02-18 16:20:16,MOD-003
EVD-000115,CASE-00020,comment,COM-000916,2026-02-18 16:20:16,MOD-003
EVD-000116,CASE-00020,report,REP-000467,2026-02-18 16:20:16,MOD-003
EVD-000117,CASE-00020,report,REP-000471,2026-02-18 16:20:16,MOD-003
EVD-000118,CASE-00020,campaign,CAMP-010,2026-02-18 16:20:16,MOD-003
EVD-000119,CASE-00021,comment,COM-000936,2026-04-19 23:12:02,MOD-004
EVD-000120,CASE-00021,comment,COM-000933,2026-04-19 23:12:02,MOD-004
EVD-000121,CASE-00021,comment,COM-000948,2026-04-19 23:12:02,MOD-004
EVD-000122,CASE-00021,report,REP-000477,2026-04-19 23:12:02,MOD-004
EVD-000123,CASE-00021,report,REP-000482,2026-04-19 23:12:02,MOD-004
EVD-000124,CASE-00021,campaign,CAMP-016,2026-04-19 23:12:02,MOD-004
EVD-000125,CASE-00022,comment,COM-000997,2026-02-19 18:57:24,MOD-002
EVD-000126,CASE-00022,comment,COM-000999,2026-02-19 18:57:24,MOD-002
EVD-000127,CASE-00022,comment,COM-000992,2026-02-19 18:57:24,MOD-002
EVD-000128,CASE-00022,report,REP-000500,2026-02-19 18:57:24,MOD-002
EVD-000129,CASE-00022,report,REP-000501,2026-02-19 18:57:24,MOD-002
EVD-000130,CASE-00022,campaign,CAMP-002,2026-02-19 18:57:24,MOD-002
EVD-000131,CASE-00023,comment,COM-001016,2026-04-13 02:51:09,MOD-004
EVD-000132,CASE-00023,comment,COM-001024,2026-04-13 02:51:09,MOD-004
EVD-000133,CASE-00023,comment,COM-001039,2026-04-13 02:51:09,MOD-004
EVD-000134,CASE-00023,report,REP-000504,2026-04-13 02:51:09,MOD-004
EVD-000135,CASE-00023,report,REP-000506,2026-04-13 02:51:09,MOD-004
EVD-000136,CASE-00023,campaign,CAMP-016,2026-04-13 02:51:09,MOD-004
EVD-000137,CASE-00024,comment,COM-001081,2026-04-23 17:45:18,MOD-005
EVD-000138,CASE-00024,comment,COM-001084,2026-04-23 17:45:18,MOD-005
EVD-000139,CASE-00024,comment,COM-001086,2026-04-23 17:45:18,MOD-005
EVD-000140,CASE-00024,report,REP-000551,2026-04-23 17:45:18,MOD-005
EVD-000141,CASE-00024,report,REP-000552,2026-04-23 17:45:18,MOD-005
EVD-000142,CASE-00024,campaign,CAMP-015,2026-04-23 17:45:18,MOD-005
EVD-000143,CASE-00025,comment,COM-001107,2026-03-25 22:56:30,MOD-006
EVD-000144,CASE-00025,comment,COM-001099,2026-03-25 22:56:30,MOD-006
EVD-000145,CASE-00025,comment,COM-001089,2026-03-25 22:56:30,MOD-006
EVD-000146,CASE-00025,report,REP-000558,2026-03-25 22:56:30,MOD-006
EVD-000147,CASE-00025,report,REP-000560,2026-03-25 22:56:30,MOD-006
EVD-000148,CASE-00025,campaign,CAMP-009,2026-03-25 22:56:30,MOD-006
EVD-000149,CASE-00026,comment,COM-001132,2026-05-30 10:42:11,MOD-001
EVD-000150,CASE-00026,comment,COM-001128,2026-05-30 10:42:11,MOD-001
EVD-000151,CASE-00026,comment,COM-001120,2026-05-30 10:42:11,MOD-001
EVD-000152,CASE-00026,report,REP-000583,2026-05-30 10:42:11,MOD-001
EVD-000153,CASE-00026,report,REP-000584,2026-05-30 10:42:11,MOD-001
EVD-000154,CASE-00026,campaign,CAMP-005,2026-05-30 10:42:11,MOD-001
EVD-000155,CASE-00027,comment,COM-001179,2026-03-15 15:19:09,MOD-002
EVD-000156,CASE-00027,comment,COM-001193,2026-03-15 15:19:09,MOD-002
EVD-000157,CASE-00027,comment,COM-001194,2026-03-15 15:19:09,MOD-002
EVD-000158,CASE-00027,report,REP-000594,2026-03-15 15:19:09,MOD-002
EVD-000159,CASE-00027,report,REP-000595,2026-03-15 15:19:09,MOD-002
EVD-000160,CASE-00027,campaign,CAMP-015,2026-03-15 15:19:09,MOD-002
EVD-000161,CASE-00028,comment,COM-001198,2026-05-09 10:08:36,MOD-004
EVD-000162,CASE-00028,comment,COM-001201,2026-05-09 10:08:36,MOD-004
EVD-000163,CASE-00028,comment,COM-001204,2026-05-09 10:08:36,MOD-004
EVD-000164,CASE-00028,report,REP-000596,2026-05-09 10:08:36,MOD-004
EVD-000165,CASE-00028,report,REP-000602,2026-05-09 10:08:36,MOD-004
EVD-000166,CASE-00028,campaign,CAMP-009,2026-05-09 10:08:36,MOD-004
EVD-000167,CASE-00029,comment,COM-001239,2025-12-19 13:37:22,MOD-008
EVD-000168,CASE-00029,comment,COM-001237,2025-12-19 13:37:22,MOD-008
EVD-000169,CASE-00029,comment,COM-001234,2025-12-19 13:37:22,MOD-008
EVD-000170,CASE-00029,report,REP-000605,2025-12-19 13:37:22,MOD-008
EVD-000171,CASE-00029,report,REP-000608,2025-12-19 13:37:22,MOD-008
EVD-000172,CASE-00029,campaign,CAMP-013,2025-12-19 13:37:22,MOD-008
EVD-000173,CASE-00030,comment,COM-001250,2026-05-18 13:00:21,MOD-003
EVD-000174,CASE-00030,comment,COM-001249,2026-05-18 13:00:21,MOD-003
EVD-000175,CASE-00030,comment,COM-001256,2026-05-18 13:00:21,MOD-003
EVD-000176,CASE-00030,report,REP-000617,2026-05-18 13:00:21,MOD-003
EVD-000177,CASE-00030,report,REP-000618,2026-05-18 13:00:21,MOD-003
EVD-000178,CASE-00030,campaign,CAMP-010,2026-05-18 13:00:21,MOD-003
EVD-000179,CASE-00031,comment,COM-001289,2026-05-01 08:58:58,MOD-007
EVD-000180,CASE-00031,comment,COM-001302,2026-05-01 08:58:58,MOD-007
EVD-000181,CASE-00031,comment,COM-001294,2026-05-01 08:58:58,MOD-007
EVD-000182,CASE-00031,report,REP-000632,2026-05-01 08:58:58,MOD-007
EVD-000183,CASE-00031,report,REP-000633,2026-05-01 08:58:58,MOD-007
EVD-000184,CASE-00031,campaign,CAMP-001,2026-05-01 08:58:58,MOD-007
EVD-000185,CASE-00032,comment,COM-001335,2026-01-06 04:33:04,MOD-004
EVD-000186,CASE-00032,comment,COM-001323,2026-01-06 04:33:04,MOD-004
EVD-000187,CASE-00032,comment,COM-001328,2026-01-06 04:33:04,MOD-004
EVD-000188,CASE-00032,report,REP-000639,2026-01-06 04:33:04,MOD-004
EVD-000189,CASE-00032,report,REP-000637,2026-01-06 04:33:04,MOD-004
EVD-000190,CASE-00032,campaign,CAMP-004,2026-01-06 04:33:04,MOD-004
EVD-000191,CASE-00033,comment,COM-001375,2026-04-28 04:37:47,MOD-001
EVD-000192,CASE-00033,comment,COM-001373,2026-04-28 04:37:47,MOD-001
EVD-000193,CASE-00033,comment,COM-001369,2026-04-28 04:37:47,MOD-001
EVD-000194,CASE-00033,report,REP-000644,2026-04-28 04:37:47,MOD-001
EVD-000195,CASE-00033,report,REP-000645,2026-04-28 04:37:47,MOD-001
EVD-000196,CASE-00033,campaign,CAMP-012,2026-04-28 04:37:47,MOD-001
EVD-000197,CASE-00034,comment,COM-001398,2026-05-25 20:47:32,MOD-003
EVD-000198,CASE-00034,comment,COM-001418,2026-05-25 20:47:32,MOD-003
EVD-000199,CASE-00034,comment,COM-001403,2026-05-25 20:47:32,MOD-003
EVD-000200,CASE-00034,report,REP-000666,2026-05-25 20:47:32,MOD-003
EVD-000201,CASE-00034,report,REP-000669,2026-05-25 20:47:32,MOD-003
EVD-000202,CASE-00034,campaign,CAMP-009,2026-05-25 20:47:32,MOD-003
EVD-000203,CASE-00035,comment,COM-001450,2025-12-14 13:05:33,MOD-002
EVD-000204,CASE-00035,comment,COM-001433,2025-12-14 13:05:33,MOD-002
EVD-000205,CASE-00035,comment,COM-001435,2025-12-14 13:05:33,MOD-002
EVD-000206,CASE-00035,report,REP-000716,2025-12-14 13:05:33,MOD-002
EVD-000207,CASE-00035,report,REP-000718,2025-12-14 13:05:33,MOD-002
EVD-000208,CASE-00035,campaign,CAMP-006,2025-12-14 13:05:33,MOD-002
EVD-000209,CASE-00036,comment,COM-001464,2026-02-26 18:55:57,MOD-008
EVD-000210,CASE-00036,comment,COM-001468,2026-02-26 18:55:57,MOD-008
EVD-000211,CASE-00036,comment,COM-001465,2026-02-26 18:55:57,MOD-008
EVD-000212,CASE-00036,report,REP-000747,2026-02-26 18:55:57,MOD-008
EVD-000213,CASE-00036,report,REP-000748,2026-02-26 18:55:57,MOD-008
EVD-000214,CASE-00036,campaign,CAMP-010,2026-02-26 18:55:57,MOD-008
EVD-000215,CASE-00037,comment,COM-001474,2026-03-15 16:54:14,MOD-001
EVD-000216,CASE-00037,comment,COM-001480,2026-03-15 16:54:14,MOD-001
EVD-000217,CASE-00037,comment,COM-001485,2026-03-15 16:54:14,MOD-001
EVD-000218,CASE-00037,campaign,CAMP-014,2026-03-15 16:54:14,MOD-001
EVD-000219,CASE-00038,comment,COM-001503,2025-12-09 00:00:00,MOD-005
EVD-000220,CASE-00038,comment,COM-001516,2025-12-09 00:00:00,MOD-005
EVD-000221,CASE-00038,comment,COM-001511,2025-12-09 00:00:00,MOD-005
EVD-000222,CASE-00038,report,REP-000755,2025-12-09 00:00:00,MOD-005
EVD-000223,CASE-00038,report,REP-000757,2025-12-09 00:00:00,MOD-005
EVD-000224,CASE-00038,campaign,CAMP-002,2025-12-09 00:00:00,MOD-005
EVD-000225,CASE-00039,comment,COM-001551,2026-02-20 14:56:58,MOD-002
EVD-000226,CASE-00039,comment,COM-001539,2026-02-20 14:56:58,MOD-002
EVD-000227,CASE-00039,comment,COM-001543,2026-02-20 14:56:58,MOD-002
EVD-000228,CASE-00039,report,REP-000769,2026-02-20 14:56:58,MOD-002
EVD-000229,CASE-00039,report,REP-000772,2026-02-20 14:56:58,MOD-002
EVD-000230,CASE-00039,campaign,CAMP-004,2026-02-20 14:56:58,MOD-002
EVD-000231,CASE-00040,comment,COM-001589,2026-03-19 04:20:21,MOD-008
EVD-000232,CASE-00040,comment,COM-001602,2026-03-19 04:20:21,MOD-008
EVD-000233,CASE-00040,comment,COM-001588,2026-03-19 04:20:21,MOD-008
EVD-000234,CASE-00040,report,REP-000778,2026-03-19 04:20:21,MOD-008
EVD-000235,CASE-00040,report,REP-000774,2026-03-19 04:20:21,MOD-008
EVD-000236,CASE-00040,campaign,CAMP-011,2026-03-19 04:20:21,MOD-008
EVD-000237,CASE-00041,comment,COM-001628,2026-06-01 00:26:26,MOD-003
EVD-000238,CASE-00041,comment,COM-001634,2026-06-01 00:26:26,MOD-003
EVD-000239,CASE-00041,comment,COM-001631,2026-06-01 00:26:26,MOD-003
EVD-000240,CASE-00041,report,REP-000797,2026-06-01 00:26:26,MOD-003
EVD-000241,CASE-00041,report,REP-000798,2026-06-01 00:26:26,MOD-003
EVD-000242,CASE-00041,campaign,CAMP-003,2026-06-01 00:26:26,MOD-003
EVD-000243,CASE-00042,comment,COM-001657,2026-01-23 00:00:00,MOD-005
EVD-000244,CASE-00042,comment,COM-001676,2026-01-23 00:00:00,MOD-005
EVD-000245,CASE-00042,comment,COM-001674,2026-01-23 00:00:00,MOD-005
EVD-000246,CASE-00042,report,REP-000804,2026-01-23 00:00:00,MOD-005
EVD-000247,CASE-00042,report,REP-000802,2026-01-23 00:00:00,MOD-005
EVD-000248,CASE-00042,campaign,CAMP-016,2026-01-23 00:00:00,MOD-005
EVD-000249,CASE-00043,comment,COM-001753,2026-04-12 10:29:21,MOD-003
EVD-000250,CASE-00043,comment,COM-001766,2026-04-12 10:29:21,MOD-003
EVD-000251,CASE-00043,comment,COM-001749,2026-04-12 10:29:21,MOD-003
EVD-000252,CASE-00043,report,REP-000835,2026-04-12 10:29:21,MOD-003
EVD-000253,CASE-00043,report,REP-000836,2026-04-12 10:29:21,MOD-003
EVD-000254,CASE-00043,campaign,CAMP-012,2026-04-12 10:29:21,MOD-003
EVD-000255,CASE-00044,comment,COM-001773,2026-05-03 07:36:18,MOD-001
EVD-000256,CASE-00044,comment,COM-001778,2026-05-03 07:36:18,MOD-001
EVD-000257,CASE-00044,comment,COM-001776,2026-05-03 07:36:18,MOD-001
EVD-000258,CASE-00044,report,REP-000847,2026-05-03 07:36:18,MOD-001
EVD-000259,CASE-00044,report,REP-000848,2026-05-03 07:36:18,MOD-001
EVD-000260,CASE-00044,campaign,CAMP-009,2026-05-03 07:36:18,MOD-001
EVD-000261,CASE-00045,comment,COM-001807,2026-03-04 15:32:57,MOD-008
EVD-000262,CASE-00045,comment,COM-001813,2026-03-04 15:32:57,MOD-008
