event_id,case_id,event_type,event_timestamp,event_description
EVT-000001,CASE-00001,case_opened,2025-12-20 00:00:00,Case opened following signal threshold breach.
EVT-000002,CASE-00002,case_opened,2026-03-23 00:00:00,Case opened following signal threshold breach.
EVT-000003,CASE-00002,evidence_collected,2026-05-18 09:41:41,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000004,CASE-00003,case_opened,2026-04-27 00:00:00,Case opened following signal threshold breach.
EVT-000005,CASE-00004,case_opened,2026-01-01 00:00:00,Case opened following signal threshold breach.
EVT-000006,CASE-00004,evidence_collected,2026-01-01 08:57:36,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000007,CASE-00004,resolved,2026-01-02 00:00:00,Investigation concluded; action taken on account.
EVT-000008,CASE-00005,case_opened,2026-05-09 00:00:00,Case opened following signal threshold breach.
EVT-000009,CASE-00005,evidence_collected,2026-05-24 04:19:35,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000010,CASE-00006,case_opened,2026-01-23 00:00:00,Case opened following signal threshold breach.
EVT-000011,CASE-00007,case_opened,2025-12-17 00:00:00,Case opened following signal threshold breach.
EVT-000012,CASE-00007,evidence_collected,2025-12-18 16:54:51,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000013,CASE-00007,resolved,2025-12-21 00:00:00,Investigation concluded; action taken on account.
EVT-000014,CASE-00008,case_opened,2026-01-02 00:00:00,Case opened following signal threshold breach.
EVT-000015,CASE-00008,evidence_collected,2026-03-27 11:00:44,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000016,CASE-00008,escalated,2026-05-14 01:37:53,Case escalated to senior review.
EVT-000017,CASE-00009,case_opened,2026-04-22 00:00:00,Case opened following signal threshold breach.
EVT-000018,CASE-00009,evidence_collected,2026-04-25 15:03:34,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000019,CASE-00009,resolved,2026-04-28 00:00:00,Investigation concluded; action taken on account.
EVT-000020,CASE-00010,case_opened,2026-04-23 00:00:00,Case opened following signal threshold breach.
EVT-000021,CASE-00010,evidence_collected,2026-05-15 19:20:59,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000022,CASE-00011,case_opened,2026-05-06 00:00:00,Case opened following signal threshold breach.
EVT-000023,CASE-00012,case_opened,2026-05-08 00:00:00,Case opened following signal threshold breach.
EVT-000024,CASE-00012,evidence_collected,2026-05-19 12:00:25,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000025,CASE-00012,escalated,2026-05-24 23:46:36,Case escalated to senior review.
EVT-000026,CASE-00013,case_opened,2025-12-29 00:00:00,Case opened following signal threshold breach.
EVT-000027,CASE-00013,evidence_collected,2026-03-04 10:41:22,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000028,CASE-00013,escalated,2026-05-06 13:16:41,Case escalated to senior review.
EVT-000029,CASE-00014,case_opened,2026-02-04 00:00:00,Case opened following signal threshold breach.
EVT-000030,CASE-00015,case_opened,2026-05-12 00:00:00,Case opened following signal threshold breach.
EVT-000031,CASE-00015,evidence_collected,2026-05-19 11:23:47,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000032,CASE-00015,escalated,2026-05-27 01:27:04,Case escalated to senior review.
EVT-000033,CASE-00016,case_opened,2026-01-05 00:00:00,Case opened following signal threshold breach.
EVT-000034,CASE-00016,evidence_collected,2026-05-04 01:31:00,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000035,CASE-00017,case_opened,2026-05-21 00:00:00,Case opened following signal threshold breach.
EVT-000036,CASE-00017,evidence_collected,2026-05-29 10:44:44,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000037,CASE-00018,case_opened,2026-05-12 00:00:00,Case opened following signal threshold breach.
EVT-000038,CASE-00018,evidence_collected,2026-05-24 18:19:28,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000039,CASE-00019,case_opened,2026-02-24 00:00:00,Case opened following signal threshold breach.
EVT-000040,CASE-00019,evidence_collected,2026-04-15 19:24:58,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000041,CASE-00019,escalated,2026-05-23 20:05:39,Case escalated to senior review.
EVT-000042,CASE-00020,case_opened,2025-12-21 00:00:00,Case opened following signal threshold breach.
EVT-000043,CASE-00020,evidence_collected,2026-02-18 16:20:16,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000044,CASE-00020,escalated,2026-05-18 05:04:24,Case escalated to senior review.
EVT-000045,CASE-00021,case_opened,2026-02-27 00:00:00,Case opened following signal threshold breach.
EVT-000046,CASE-00021,evidence_collected,2026-04-19 23:12:02,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000047,CASE-00021,escalated,2026-05-12 07:53:40,Case escalated to senior review.
EVT-000048,CASE-00022,case_opened,2025-12-12 00:00:00,Case opened following signal threshold breach.
EVT-000049,CASE-00022,evidence_collected,2026-02-19 18:57:24,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000050,CASE-00022,escalated,2026-05-23 10:47:59,Case escalated to senior review.
EVT-000051,CASE-00023,case_opened,2025-12-28 00:00:00,Case opened following signal threshold breach.
EVT-000052,CASE-00023,evidence_collected,2026-04-13 02:51:09,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000053,CASE-00024,case_opened,2026-04-21 00:00:00,Case opened following signal threshold breach.
EVT-000054,CASE-00024,evidence_collected,2026-04-23 17:45:18,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000055,CASE-00024,resolved,2026-04-28 00:00:00,Investigation concluded; action taken on account.
EVT-000056,CASE-00025,case_opened,2025-12-20 00:00:00,Case opened following signal threshold breach.
EVT-000057,CASE-00025,evidence_collected,2026-03-25 22:56:30,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000058,CASE-00026,case_opened,2026-05-18 00:00:00,Case opened following signal threshold breach.
EVT-000059,CASE-00026,evidence_collected,2026-05-30 10:42:11,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000060,CASE-00027,case_opened,2026-03-13 00:00:00,Case opened following signal threshold breach.
EVT-000061,CASE-00027,evidence_collected,2026-03-15 15:19:09,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000062,CASE-00027,resolved,2026-03-18 00:00:00,Investigation concluded; action taken on account.
EVT-000063,CASE-00028,case_opened,2026-04-08 00:00:00,Case opened following signal threshold breach.
EVT-000064,CASE-00028,evidence_collected,2026-05-09 10:08:36,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000065,CASE-00028,escalated,2026-05-26 07:23:43,Case escalated to senior review.
EVT-000066,CASE-00029,case_opened,2025-12-16 00:00:00,Case opened following signal threshold breach.
EVT-000067,CASE-00029,evidence_collected,2025-12-19 13:37:22,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000068,CASE-00029,resolved,2025-12-23 00:00:00,Investigation concluded; action taken on account.
EVT-000069,CASE-00030,case_opened,2026-04-26 00:00:00,Case opened following signal threshold breach.
EVT-000070,CASE-00030,evidence_collected,2026-05-18 13:00:21,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000071,CASE-00030,escalated,2026-05-24 20:00:51,Case escalated to senior review.
EVT-000072,CASE-00031,case_opened,2026-03-30 00:00:00,Case opened following signal threshold breach.
EVT-000073,CASE-00031,evidence_collected,2026-05-01 08:58:58,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000074,CASE-00031,escalated,2026-05-27 00:48:57,Case escalated to senior review.
EVT-000075,CASE-00032,case_opened,2026-01-03 00:00:00,Case opened following signal threshold breach.
EVT-000076,CASE-00032,evidence_collected,2026-01-06 04:33:04,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000077,CASE-00032,resolved,2026-01-09 00:00:00,Investigation concluded; action taken on account.
EVT-000078,CASE-00033,case_opened,2026-04-27 00:00:00,Case opened following signal threshold breach.
EVT-000079,CASE-00033,evidence_collected,2026-04-28 04:37:47,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000080,CASE-00033,resolved,2026-04-29 00:00:00,Investigation concluded; action taken on account.
EVT-000081,CASE-00034,case_opened,2026-05-04 00:00:00,Case opened following signal threshold breach.
EVT-000082,CASE-00034,evidence_collected,2026-05-25 20:47:32,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000083,CASE-00035,case_opened,2025-12-09 00:00:00,Case opened following signal threshold breach.
EVT-000084,CASE-00035,evidence_collected,2025-12-14 13:05:33,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000085,CASE-00035,resolved,2025-12-19 00:00:00,Investigation concluded; action taken on account.
EVT-000086,CASE-00036,case_opened,2026-02-23 00:00:00,Case opened following signal threshold breach.
EVT-000087,CASE-00036,evidence_collected,2026-02-26 18:55:57,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000088,CASE-00036,resolved,2026-03-05 00:00:00,Investigation concluded; action taken on account.
EVT-000089,CASE-00037,case_opened,2026-01-17 00:00:00,Case opened following signal threshold breach.
EVT-000090,CASE-00037,evidence_collected,2026-03-15 16:54:14,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000091,CASE-00037,escalated,2026-05-01 22:01:52,Case escalated to senior review.
EVT-000092,CASE-00038,case_opened,2025-12-09 00:00:00,Case opened following signal threshold breach.
EVT-000093,CASE-00039,case_opened,2025-12-19 00:00:00,Case opened following signal threshold breach.
EVT-000094,CASE-00039,evidence_collected,2026-02-20 14:56:58,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000095,CASE-00039,escalated,2026-04-22 23:32:14,Case escalated to senior review.
EVT-000096,CASE-00040,case_opened,2026-03-18 00:00:00,Case opened following signal threshold breach.
EVT-000097,CASE-00040,evidence_collected,2026-03-19 04:20:21,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000098,CASE-00040,resolved,2026-03-21 00:00:00,Investigation concluded; action taken on account.
EVT-000099,CASE-00041,case_opened,2026-06-01 00:00:00,Case opened following signal threshold breach.
EVT-000100,CASE-00041,evidence_collected,2026-06-01 00:26:26,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000101,CASE-00041,escalated,2026-06-01 00:52:10,Case escalated to senior review.
EVT-000102,CASE-00042,case_opened,2026-01-23 00:00:00,Case opened following signal threshold breach.
EVT-000103,CASE-00043,case_opened,2025-12-20 00:00:00,Case opened following signal threshold breach.
EVT-000104,CASE-00043,evidence_collected,2026-04-12 10:29:21,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000105,CASE-00044,case_opened,2026-02-26 00:00:00,Case opened following signal threshold breach.
EVT-000106,CASE-00044,evidence_collected,2026-05-03 07:36:18,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000107,CASE-00045,case_opened,2025-12-30 00:00:00,Case opened following signal threshold breach.
EVT-000108,CASE-00045,evidence_collected,2026-03-04 15:32:57,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000109,CASE-00045,escalated,2026-04-26 23:49:28,Case escalated to senior review.
EVT-000110,CASE-00046,case_opened,2026-05-28 00:00:00,Case opened following signal threshold breach.
EVT-000111,CASE-00047,case_opened,2026-03-15 00:00:00,Case opened following signal threshold breach.
EVT-000112,CASE-00047,evidence_collected,2026-05-26 02:58:01,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000113,CASE-00048,case_opened,2026-04-01 00:00:00,Case opened following signal threshold breach.
EVT-000114,CASE-00049,case_opened,2026-01-28 00:00:00,Case opened following signal threshold breach.
EVT-000115,CASE-00050,case_opened,2026-04-30 00:00:00,Case opened following signal threshold breach.
EVT-000116,CASE-00050,evidence_collected,2026-05-04 20:31:36,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000117,CASE-00050,resolved,2026-05-09 00:00:00,Investigation concluded; action taken on account.
EVT-000118,CASE-00051,case_opened,2026-03-26 00:00:00,Case opened following signal threshold breach.
EVT-000119,CASE-00051,evidence_collected,2026-03-28 02:47:37,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000120,CASE-00051,resolved,2026-03-30 00:00:00,Investigation concluded; action taken on account.
EVT-000121,CASE-00052,case_opened,2026-03-14 00:00:00,Case opened following signal threshold breach.
EVT-000122,CASE-00052,evidence_collected,2026-03-18 12:50:53,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000123,CASE-00052,resolved,2026-03-25 00:00:00,Investigation concluded; action taken on account.
EVT-000124,CASE-00053,case_opened,2026-02-09 00:00:00,Case opened following signal threshold breach.
EVT-000125,CASE-00053,evidence_collected,2026-02-10 02:55:58,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000126,CASE-00053,resolved,2026-02-11 00:00:00,Investigation concluded; action taken on account.
EVT-000127,CASE-00054,case_opened,2026-04-05 00:00:00,Case opened following signal threshold breach.
EVT-000128,CASE-00055,case_opened,2026-05-27 00:00:00,Case opened following signal threshold breach.
EVT-000129,CASE-00055,evidence_collected,2026-05-30 01:50:35,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000130,CASE-00056,case_opened,2026-05-31 00:00:00,Case opened following signal threshold breach.
EVT-000131,CASE-00057,case_opened,2026-04-04 00:00:00,Case opened following signal threshold breach.
EVT-000132,CASE-00058,case_opened,2026-03-09 00:00:00,Case opened following signal threshold breach.
EVT-000133,CASE-00059,case_opened,2026-03-22 00:00:00,Case opened following signal threshold breach.
EVT-000134,CASE-00059,evidence_collected,2026-03-23 20:54:50,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000135,CASE-00059,resolved,2026-03-26 00:00:00,Investigation concluded; action taken on account.
EVT-000136,CASE-00060,case_opened,2026-01-06 00:00:00,Case opened following signal threshold breach.
EVT-000137,CASE-00060,evidence_collected,2026-01-08 12:31:54,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000138,CASE-00060,resolved,2026-01-10 00:00:00,Investigation concluded; action taken on account.
EVT-000139,CASE-00061,case_opened,2026-02-17 00:00:00,Case opened following signal threshold breach.
EVT-000140,CASE-00061,evidence_collected,2026-05-11 19:46:32,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000141,CASE-00062,case_opened,2026-05-08 00:00:00,Case opened following signal threshold breach.
EVT-000142,CASE-00062,evidence_collected,2026-05-11 02:11:12,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000143,CASE-00062,resolved,2026-05-14 00:00:00,Investigation concluded; action taken on account.
EVT-000144,CASE-00063,case_opened,2026-02-16 00:00:00,Case opened following signal threshold breach.
EVT-000145,CASE-00063,evidence_collected,2026-02-23 16:32:29,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000146,CASE-00063,resolved,2026-03-02 00:00:00,Investigation concluded; action taken on account.
EVT-000147,CASE-00064,case_opened,2025-12-11 00:00:00,Case opened following signal threshold breach.
EVT-000148,CASE-00065,case_opened,2026-02-18 00:00:00,Case opened following signal threshold breach.
EVT-000149,CASE-00065,evidence_collected,2026-04-19 22:00:28,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000150,CASE-00065,escalated,2026-05-22 09:56:20,Case escalated to senior review.
EVT-000151,CASE-00066,case_opened,2026-03-30 00:00:00,Case opened following signal threshold breach.
EVT-000152,CASE-00066,evidence_collected,2026-05-09 10:07:41,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000153,CASE-00067,case_opened,2026-01-15 00:00:00,Case opened following signal threshold breach.
EVT-000154,CASE-00067,evidence_collected,2026-01-16 03:00:58,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000155,CASE-00067,resolved,2026-01-18 00:00:00,Investigation concluded; action taken on account.
EVT-000156,CASE-00068,case_opened,2026-04-16 00:00:00,Case opened following signal threshold breach.
EVT-000157,CASE-00068,evidence_collected,2026-05-06 17:40:09,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000158,CASE-00068,escalated,2026-05-21 11:37:22,Case escalated to senior review.
EVT-000159,CASE-00069,case_opened,2026-03-30 00:00:00,Case opened following signal threshold breach.
EVT-000160,CASE-00070,case_opened,2026-01-12 00:00:00,Case opened following signal threshold breach.
EVT-000161,CASE-00071,case_opened,2025-12-17 00:00:00,Case opened following signal threshold breach.
EVT-000162,CASE-00072,case_opened,2026-04-02 00:00:00,Case opened following signal threshold breach.
EVT-000163,CASE-00072,evidence_collected,2026-05-10 01:31:34,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000164,CASE-00073,case_opened,2026-01-28 00:00:00,Case opened following signal threshold breach.
EVT-000165,CASE-00073,evidence_collected,2026-01-30 11:20:18,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000166,CASE-00073,resolved,2026-02-01 00:00:00,Investigation concluded; action taken on account.
EVT-000167,CASE-00074,case_opened,2026-05-17 00:00:00,Case opened following signal threshold breach.
EVT-000168,CASE-00074,evidence_collected,2026-05-30 12:11:48,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000169,CASE-00075,case_opened,2026-06-01 00:00:00,Case opened following signal threshold breach.
EVT-000170,CASE-00075,evidence_collected,2026-06-03 06:04:10,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000171,CASE-00075,resolved,2026-06-06 00:00:00,Investigation concluded; action taken on account.
EVT-000172,CASE-00076,case_opened,2026-03-20 00:00:00,Case opened following signal threshold breach.
EVT-000173,CASE-00076,evidence_collected,2026-03-26 11:56:15,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000174,CASE-00076,resolved,2026-04-01 00:00:00,Investigation concluded; action taken on account.
EVT-000175,CASE-00077,case_opened,2026-04-23 00:00:00,Case opened following signal threshold breach.
EVT-000176,CASE-00077,evidence_collected,2026-05-20 14:55:28,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000177,CASE-00078,case_opened,2026-04-07 00:00:00,Case opened following signal threshold breach.
EVT-000178,CASE-00079,case_opened,2026-03-13 00:00:00,Case opened following signal threshold breach.
EVT-000179,CASE-00080,case_opened,2026-01-03 00:00:00,Case opened following signal threshold breach.
EVT-000180,CASE-00080,evidence_collected,2026-01-08 11:52:40,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000181,CASE-00080,resolved,2026-01-12 00:00:00,Investigation concluded; action taken on account.
EVT-000182,CASE-00081,case_opened,2026-05-18 00:00:00,Case opened following signal threshold breach.
EVT-000183,CASE-00082,case_opened,2026-05-15 00:00:00,Case opened following signal threshold breach.
EVT-000184,CASE-00083,case_opened,2026-02-18 00:00:00,Case opened following signal threshold breach.
EVT-000185,CASE-00084,case_opened,2026-01-04 00:00:00,Case opened following signal threshold breach.
EVT-000186,CASE-00085,case_opened,2026-02-14 00:00:00,Case opened following signal threshold breach.
EVT-000187,CASE-00085,evidence_collected,2026-04-07 07:49:18,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000188,CASE-00085,escalated,2026-05-07 10:59:23,Case escalated to senior review.
EVT-000189,CASE-00086,case_opened,2026-04-10 00:00:00,Case opened following signal threshold breach.
EVT-000190,CASE-00086,evidence_collected,2026-05-02 11:40:39,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000191,CASE-00086,escalated,2026-05-24 04:25:23,Case escalated to senior review.
EVT-000192,CASE-00087,case_opened,2026-03-26 00:00:00,Case opened following signal threshold breach.
EVT-000193,CASE-00087,evidence_collected,2026-03-27 07:26:40,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000194,CASE-00087,resolved,2026-03-29 00:00:00,Investigation concluded; action taken on account.
EVT-000195,CASE-00088,case_opened,2026-02-04 00:00:00,Case opened following signal threshold breach.
EVT-000196,CASE-00088,evidence_collected,2026-04-06 03:20:16,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000197,CASE-00088,escalated,2026-05-24 21:53:23,Case escalated to senior review.
EVT-000198,CASE-00089,case_opened,2026-05-30 00:00:00,Case opened following signal threshold breach.
EVT-000199,CASE-00089,evidence_collected,2026-06-03 17:33:41,"Evidence gathered from account comments, reports, and campaign linkage."
EVT-000200,CASE-00089,resolved,2026-06-09 00:00:00,Investigation concluded; action taken on account.
EVT-000201,CASE-00090,case_opened,2026-05-14 00:00:00,Case opened following signal threshold breach.
